orden,familia
characiformes,acestrorhynchidae
carangiformes,achiridae
characiformes,anostomidae
gymnotiformes,apteronotidae
osteoglossiformes,arapaimidae
siluriformes,aspredinidae
siluriformes,auchenipteridae
batrachoidiformes,batrachoididae
beloniformes,belonidae
characiformes,bryconidae
siluriformes,callichthyidae
siluriformes,cetopsidae
characiformes,chalceidae
characiformes,characidae
characiformes,chilodontidae
cichliformes,cichlidae
characiformes,crenuchidae
characiformes,ctenoluciidae
characiformes,curimatidae
characiformes,cynodontidae
siluriformes,doradidae
clupeiformes,engraulididae
characiformes,erythrinidae
characiformes,gasteropelecidae
gymnotiformes,gymnotidae
characiformes,hemiodontidae
siluriformes,heptapteridae
gymnotiformes,hypopomidae
characiformes,iguanodectidae
characiformes,lebiasinidae
lepidosireniformes,lepidosirenidae
siluriformes,loricariidae
osteoglossiformes,osteoglossidae
characiformes,parodontidae
siluriformes,pimelodidae
cichliformes,polycentridae
myliobatiformes,potamotrygonidae
clupeiformes,pristigasteridae
characiformes,prochilodontidae
siluriformes,pseudopimelodidae
gymnotiformes,rhamphichthyidae
cyprinodontiformes,rivulidae
salmoniformes,salmonidae
characiformes,serrasalmidae
gymnotiformes,sternopygidae
synbranchiformes,synbranchidae
tetraodontiformes,tetraodontidae
siluriformes,trichomycteridae
characiformes,triportheidae