id,familia
1,acestrorhynchidae
2,achiridae
3,anostomidae
4,apteronotidae
5,arapaimidae
6,aspredinidae
7,auchenipteridae
8,batrachoididae
9,belonidae
10,bryconidae
11,callichthyidae
12,cetopsidae
13,chalceidae
14,characidae
15,chilodontidae
16,cichlidae
17,crenuchidae
18,ctenoluciidae
19,curimatidae
20,cynodontidae
21,doradidae
22,engraulididae
23,erythrinidae
24,gasteropelecidae
25,gymnotidae
26,hemiodontidae
27,heptapteridae
28,hypopomidae
29,iguanodectidae
30,lebiasinidae
31,lepidosirenidae
32,loricariidae
33,osteoglossidae
34,parodontidae
35,pimelodidae
36,polycentridae
37,potamotrygonidae
38,pristigasteridae
39,prochilodontidae
40,pseudopimelodidae
41,rhamphichthyidae
42,rivulidae
43,salmonidae
44,serrasalmidae
45,sternopygidae
46,synbranchidae
47,tetraodontidae
48,trichomycteridae
49,triportheidae