id,genero
1,acanthodoras
2,acaricichthys
3,acaronia
4,acestrorhynchus
5,aequidens
6,ageneiosus
7,amaralia
8,amblydoras
9,ammocryptocharax
10,anablepsoides
11,anadoras
12,anchoviella
13,ancistrus
14,anodus
15,aphanotorulus
16,aphyocharax
17,apionichthys
18,apistogramma
19,apteronotus
20,arapaima
21,astronotus
22,astyanax
23,auchenipterichthys
24,auchenipterus
25,batrochoglanis
26,biotodoma
27,boulengerella
28,brachychalcinus
29,brachyhypopomus
30,brachyplatystoma
31,brycon
32,brycon
33,bryconops
34,bryconops
35,bujurquina
36,bunocephalus
37,callichthys
38,callophysus
39,carnegiella
40,centromochlus
41,cetopsis
42,chaetobranchus
43,chaetostoma
44,chalceus
45,chalceus
46,characidium
47,charax
48,chilodus
49,chilodus
50,chrysobrycon
51,cichla
52,cichlasoma
53,colossoma
54,copeina
55,copella
56,corydoras
57,creagrutus
58,creagrutus sp.
59,crenicara
60,crenicichla
61,ctenobrycon
62,curimata
63,curimatella
64,curimatopsis
65,cynodon
66,cynopotamus
67,cyphocharax
68,denticetopsis
69,dianema
70,duringlanis
71,eigenmannia
72,elachocharax
73,electrophorus
74,erythrinus
75,farlowella
76,gasteropelecus
77,goeldiella
78,gymnotus
79,hemigrammus
80,hemiodontichthys
81,hemiodus
82,hemisorubim
83,henonemus
84,heroina
85,heros
86,hoplerythrinus
87,hoplias
88,hoplosternum
89,hydrolycus
90,hyphessobrycon
91,hypoclinemus
92,hypophthalmus
93,hypoptopoma
94,hypostomus
95,hypselecara
96,iguanodectes
97,imparfinis
98,jupiaba
99,knodus
100,laemolyta
101,laetacara
102,lasiancistrus
103,leiarius
104,lepidosiren
105,leporinus
106,leporinus
107,leptodoras
108,loricaria
109,loricariichthys
110,lugubria
111,lycengraulis
112,megalechis
113,megaleporinus
114,melanocharacidium
115,mesonauta
116,metynnis
117,microschemobrycon
118,moenkhausia
119,monocirrhus
120,myloplus
121,mylossoma
122,mylossoma
123,nannostomus
124,ochmacanthus
125,oncorhynchus
126,osteoglossum
127,oxyropsis
128,panaqolus
129,panaque
130,paragoniates
131,paratrygon
132,parodon
133,peckoltia
134,peckoltichthys
135,pellona
136,phenacogaster
137,phenacorhamdia
138,piaractus
139,pimelodella
140,pimelodella
141,pimelodus
142,pinirampus
143,planiloricaria
144,platydoras
145,platysilurus
146,platyurosternarchus
147,potamorhina
148,potamorrhaphis
149,potamotrygon
150,prionobrama
151,pristigaster
152,prochilodus
153,psectrogaster
154,pseudanos
155,pseudobunocephalus
156,pseudohemiodon
157,pseudopimelodus
158,pseudoplatystoma
159,pseudorinelepis
160,pseudotylosurus
161,pterophyllum
162,pterygoplichthys
163,pygocentrus
164,pyrrhulina
165,rhamphichthys
166,rhandia
167,rhaphiodon
168,rineloricaria
169,rineloricaria sp.
170,roeboides
171,salminus
172,satanoperca
173,saxatilia
174,schizodon
175,semaprochilodus
176,serrapinnus
177,serrasalmus
178,serrasalmus
179,serrrasalmus
180,sorubim
181,sorubin
182,spatuloricaria
183,sphoeroides
184,steatogenys
185,steindachnerina
186,sternopygus
187,stethaprion
188,stichonodon
189,synbranchus
190,tahuantinsuyoa
191,tatia
192,tenellus
193,tetragonopterus
194,thalassophryne
195,thayeria
196,thoracocharax
197,trachelyopterus
198,trachydoras
199,triportheus
200,tyttocharax
201,zungaro