id,name,status
1,Canal del Puinahua,1
2,Estación 07,1
3,Estación 08,1
4,Estación Paiche 1,1
5,Inambari,1
6,Itaya,1
7,paratipos,1
8,Pucate,1
9,Río Amazonas,1
10,Río Apurimac,1
11,Río Arabela,1
12,Río Aushiri,1
13,río Camisea,1
14,Río Chamaya,1
15,Río Chambira,1
16,Río Corrientes,1
17,Río Cumbaza,1
18,Río Curaray,1
19,Río Huallaga,1
20,Río Jayave,1
21,Río Kimbiri,1
22,Río Lagartococha,1
23,Río las piedras,1
24,Río Madre de Dios,1
25,Río Marañón,1
26,Río Mayo,1
27,Río Nanay,1
28,Río Napo,1
29,Río Nashiño,1
30,Río Orosa,1
31,Río Pacaya,1
32,Río Pintuyacu,1
33,Río Pucacuro,1
34,Río Samiria,1
35,Río Saposoa,1
36,Río Sisa,1
37,Río Suceso,1
38,Río Tahuamanu,1
39,Río Tambopata,1
40,Río Tapiche,1
41,Río Tigre,1
42,Río Tocache,1
43,Río Ucayali,1
44,Río Ucayali (alto),1
45,Río Urubamba,1
46,Río Yanayacu,1
47,Río Yavarí,1
48,sierra de contamana,1
49,sub cuenca río corrientes,1
50,sub cuenca río pacaya,1
51,sub cuenca río pucacuro,1