orden,familia
Myliobatiformes,Potamotrygonidae
Myliobatiformes,Potamotrygonidae
Myliobatiformes,Potamotrygonidae
Myliobatiformes,Potamotrygonidae
Myliobatiformes,Potamotrygonidae
Myliobatiformes,Potamotrygonidae
Myliobatiformes,Potamotrygonidae
Myliobatiformes,Potamotrygonidae
Lepidosireniformes,Lepidosirenidae
Osteoglossiformes,Osteoglossidae
Osteoglossiformes,Osteoglossidae
Osteoglossiformes,Arapaimidae
Osteoglossiformes,Arapaimidae
Clupeiformes,Engraulididae
Clupeiformes,Engraulididae
Clupeiformes,Pristigasteridae
Clupeiformes,Pristigasteridae
Clupeiformes,Pristigasteridae
Clupeiformes,Pristigasteridae
Clupeiformes,Pristigasteridae
Characiformes ,Hemiodontidae
Characiformes ,Hemiodontidae
Characiformes ,Hemiodontidae
Characiformes ,Hemiodontidae
Characiformes ,Hemiodontidae
Characiformes ,Hemiodontidae
Characiformes ,Parodontidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Prochilodontidae
Characiformes ,Prochilodontidae
Characiformes ,Prochilodontidae
Characiformes ,Prochilodontidae
Characiformes ,Prochilodontidae
Characiformes ,Prochilodontidae
Characiformes ,Prochilodontidae
Characiformes ,Prochilodontidae
Characiformes ,Prochilodontidae
Characiformes ,Prochilodontidae
Characiformes ,Prochilodontidae
Characiformes ,Prochilodontidae
Characiformes ,Prochilodontidae
Characiformes ,Prochilodontidae
Characiformes ,Prochilodontidae
Characiformes ,Anostomidae 
Characiformes ,Anostomidae 
Characiformes ,Anostomidae 
Characiformes ,Anostomidae 
Characiformes ,Anostomidae 
Characiformes ,Anostomidae 
Characiformes ,Anostomidae 
Characiformes ,Anostomidae 
Characiformes ,Anostomidae 
Characiformes ,Anostomidae 
Characiformes ,Anostomidae 
Characiformes ,Anostomidae 
Characiformes ,Anostomidae 
Characiformes ,Anostomidae 
Characiformes ,Anostomidae 
Characiformes ,Erythrinidae
Characiformes ,Erythrinidae
Characiformes ,Erythrinidae
Characiformes ,Erythrinidae
Characiformes ,Erythrinidae
Characiformes ,Erythrinidae
Characiformes ,Erythrinidae
Characiformes ,Lebiasinidae
Characiformes ,Lebiasinidae
Characiformes ,Lebiasinidae
Characiformes ,Lebiasinidae
Characiformes ,Lebiasinidae
Characiformes ,Lebiasinidae
Characiformes ,Lebiasinidae
Characiformes ,Lebiasinidae
Characiformes ,Lebiasinidae
Characiformes ,Gasteropelecidae
Characiformes ,Gasteropelecidae
Characiformes ,Gasteropelecidae
Characiformes ,Ctenoluciidae
Characiformes ,Ctenoluciidae
Characiformes ,Acestrorhynchidae
Characiformes ,Acestrorhynchidae
Characiformes ,Acestrorhynchidae
Characiformes ,Acestrorhynchidae
Characiformes ,Cynodontidae
Characiformes ,Cynodontidae
Characiformes ,Cynodontidae
Characiformes ,Cynodontidae
Characiformes ,Cynodontidae
Characiformes ,Serrasalmidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Serrasalmidae
Characiformes ,Serrasalmidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Serrasalmidae
Characiformes ,Serrasalmidae
Characiformes ,Serrasalmidae
Characiformes ,Serrasalmidae
Characiformes ,Characidae
Characiformes ,Serrasalmidae
Characiformes ,Serrasalmidae
Characiformes ,Serrasalmidae
Characiformes ,Serrasalmidae
Characiformes ,Serrasalmidae
Characiformes ,Characidae
Characiformes ,Serrasalmidae
Characiformes ,Serrasalmidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Serrasalmidae
Characiformes ,Serrasalmidae
Characiformes ,Characidae
Characiformes ,Serrasalmidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Serrasalmidae
Characiformes ,Characidae
Characiformes ,Iguanodectidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Iguanodectidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Triportheidae
Characiformes ,Triportheidae
Characiformes ,Characidae
Characiformes ,Triportheidae
Characiformes ,Triportheidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Crenuchidae
Siluriformes,Doradidae
Siluriformes,Doradidae
Siluriformes,Doradidae
Siluriformes,Doradidae
Siluriformes,Doradidae
Siluriformes,Doradidae
Siluriformes,Auchenipteridae
Siluriformes,Auchenipteridae
Siluriformes,Auchenipteridae
Siluriformes,Auchenipteridae
Siluriformes,Auchenipteridae
Siluriformes,Pimelodidae 
Siluriformes,Pimelodidae 
Siluriformes,Pimelodidae 
Siluriformes,Pimelodidae 
Siluriformes,Pimelodidae 
Siluriformes,Pimelodidae 
Siluriformes,Pimelodidae 
Siluriformes,Pimelodidae 
Siluriformes,Pimelodidae 
Siluriformes,Pimelodidae 
Siluriformes,Pimelodidae 
Siluriformes,Pimelodidae 
Siluriformes,Pimelodidae 
Siluriformes,Pimelodidae 
Siluriformes,Pimelodidae 
Siluriformes,Pimelodidae 
Siluriformes,Pimelodidae 
Siluriformes,Pimelodidae 
Siluriformes,Pimelodidae 
Siluriformes,Heptapteridae
Siluriformes,Auchenipteridae
Siluriformes,Heptapteridae
Siluriformes,Heptapteridae
Siluriformes,Heptapteridae
Siluriformes,Auchenipteridae
Siluriformes,Heptapteridae
Siluriformes,Heptapteridae
Siluriformes,Heptapteridae
Siluriformes,Auchenipteridae
Siluriformes,Auchenipteridae
Siluriformes,Cetopsidae
Siluriformes,Cetopsidae
Siluriformes,Cetopsidae
Siluriformes,Pseudopimelodidae
Siluriformes,Pseudopimelodidae
Siluriformes,Aspredinidae
Siluriformes,Aspredinidae
Siluriformes,Aspredinidae
Siluriformes,Aspredinidae
Siluriformes,Aspredinidae
Siluriformes,Aspredinidae
Siluriformes,Aspredinidae
Siluriformes,Aspredinidae
Siluriformes,Trichomycteridae
Siluriformes,Callichthyidae
Siluriformes,Callichthyidae
Siluriformes,Callichthyidae
Siluriformes,Callichthyidae
Siluriformes,Callichthyidae
Siluriformes,Callichthyidae
Siluriformes,Callichthyidae
Siluriformes,Callichthyidae
Siluriformes,Callichthyidae
Siluriformes,Callichthyidae
Siluriformes,Callichthyidae
Siluriformes,Callichthyidae
Siluriformes,Callichthyidae
Siluriformes,Callichthyidae
Siluriformes,Callichthyidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Gymnotiformes ,Sternopygidae
Gymnotiformes ,Gymnotidae
Gymnotiformes ,Sternopygidae
Gymnotiformes ,Gymnotidae
Gymnotiformes ,Gymnotidae
Gymnotiformes ,Gymnotidae
Gymnotiformes ,Hypopomidae
Gymnotiformes ,Rhamphichthyidae
Gymnotiformes ,Rhamphichthyidae
Salmoniformes ,Salmonidae
Salmoniformes ,Salmonidae
Batrachoidiformes,Batrachoididae
Batrachoidiformes,Batrachoididae
Synbranchiformes ,Synbranchidae
Synbranchiformes ,Synbranchidae
Synbranchiformes ,Synbranchidae
Carangiformes ,Achiridae
Carangiformes ,Achiridae
Carangiformes ,Achiridae
Carangiformes ,Achiridae
Carangiformes ,Achiridae
Carangiformes ,Achiridae
Carangiformes ,Achiridae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Characiformes ,Serrasalmidae
Characiformes ,Serrasalmidae
Characiformes ,Serrasalmidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Clupeiformes,Pristigasteridae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Gasteropelecidae
Carangiformes ,Achiridae
Siluriformes,Callichthyidae
Carangiformes ,Achiridae
Cichliformes ,Cichlidae
Siluriformes,Callichthyidae
Characiformes ,Characidae
Characiformes ,Serrasalmidae
Characiformes ,Gasteropelecidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Gymnotiformes ,Sternopygidae
Gymnotiformes ,Gymnotidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Gasteropelecidae
Siluriformes,Auchenipteridae
Characiformes ,Characidae
Cichliformes ,Cichlidae
Siluriformes,Heptapteridae
Characiformes ,Serrasalmidae
Characiformes ,Crenuchidae
Tetraodontiformes,Tetraodontidae
Siluriformes,Loricariidae
Characiformes ,Serrasalmidae
Characiformes ,Gasteropelecidae
Characiformes ,Characidae
Tetraodontiformes,Tetraodontidae
Carangiformes ,Achiridae
Siluriformes,Trichomycteridae
Siluriformes,Loricariidae
Characiformes ,Characidae
Characiformes ,Serrasalmidae
Characiformes ,Triportheidae
Characiformes ,Triportheidae
Characiformes ,Anostomidae 
Characiformes ,Characidae
Tetraodontiformes,Tetraodontidae
Characiformes ,Curimatidae
Characiformes ,Characidae
Cichliformes ,Cichlidae
Siluriformes,Heptapteridae
Siluriformes,Auchenipteridae
Tetraodontiformes,Tetraodontidae
Characiformes ,Serrasalmidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Characidae
Characiformes ,Erythrinidae
Tetraodontiformes,Tetraodontidae
Characiformes ,Characidae
Carangiformes ,Achiridae
Characiformes ,Serrasalmidae
Characiformes ,Erythrinidae
Cichliformes ,Polycentridae
Characiformes ,Characidae
Characiformes ,Serrasalmidae
Siluriformes,Loricariidae
Siluriformes,Callichthyidae
Clupeiformes,Pristigasteridae
Carangiformes ,Achiridae
Siluriformes,Loricariidae
Characiformes ,Bryconidae
Cichliformes ,Cichlidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Serrasalmidae
Tetraodontiformes,Tetraodontidae
Tetraodontiformes,Tetraodontidae
Characiformes ,Characidae
Characiformes ,Gasteropelecidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Lebiasinidae
Characiformes ,Lebiasinidae
Characiformes ,Lebiasinidae
Characiformes ,Lebiasinidae
Characiformes ,Erythrinidae
Carangiformes ,Achiridae
Characiformes ,Lebiasinidae
Characiformes ,Lebiasinidae
Tetraodontiformes,Tetraodontidae
Siluriformes,Pimelodidae 
Characiformes ,Gasteropelecidae
Cichliformes ,Cichlidae
Siluriformes,Heptapteridae
Siluriformes,Callichthyidae
Siluriformes,Callichthyidae
Siluriformes,Callichthyidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Characiformes ,Gasteropelecidae
Characiformes ,Characidae
Characiformes ,Prochilodontidae
Characiformes ,Curimatidae
Characiformes ,Anostomidae 
Characiformes ,Cynodontidae
Characiformes ,Erythrinidae
Characiformes ,Characidae
Characiformes ,Cynodontidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Characiformes ,Characidae
Characiformes ,Serrasalmidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Serrasalmidae
Gymnotiformes ,Sternopygidae
Cichliformes ,Cichlidae
Characiformes ,Acestrorhynchidae
Characiformes ,Acestrorhynchidae
Characiformes ,Prochilodontidae
Characiformes ,Anostomidae 
Siluriformes,Doradidae
Siluriformes,Doradidae
Siluriformes,Pseudopimelodidae
Characiformes ,Serrasalmidae
Siluriformes,Heptapteridae
Characiformes ,Serrasalmidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Characidae
Characiformes ,Iguanodectidae
Characiformes ,Bryconidae
Siluriformes,Auchenipteridae
Beloniformes ,Belonidae
Beloniformes ,Belonidae
Siluriformes,Auchenipteridae
Siluriformes,Callichthyidae
Characiformes ,Characidae
Characiformes ,Curimatidae
Siluriformes,Loricariidae
Siluriformes,Doradidae
Gymnotiformes ,Sternopygidae
Siluriformes,Pimelodidae 
Characiformes ,Characidae
Gymnotiformes ,Apteronotidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Pimelodidae 
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Characiformes ,Parodontidae
Characiformes ,Anostomidae 
Characiformes ,Anostomidae 
Characiformes ,Anostomidae 
Gymnotiformes ,Rhamphichthyidae
Gymnotiformes ,Gymnotidae
Characiformes ,Gasteropelecidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Iguanodectidae
Characiformes ,Iguanodectidae
Characiformes ,Characidae
Siluriformes,Auchenipteridae
Siluriformes,Auchenipteridae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Crenuchidae
Siluriformes,Heptapteridae
Characiformes ,Curimatidae
Siluriformes,Trichomycteridae
Characiformes ,Characidae
Characiformes ,Crenuchidae
Characiformes ,Crenuchidae
Characiformes ,Characidae
Characiformes ,Characidae
Siluriformes,Heptapteridae
Characiformes ,Characidae
Siluriformes,Auchenipteridae
Cyprinodontiformes,Rivulidae
Siluriformes,Heptapteridae
Siluriformes,Cetopsidae
Characiformes ,Crenuchidae
Characiformes ,Crenuchidae
Characiformes ,Crenuchidae
Characiformes ,Crenuchidae
Characiformes ,Crenuchidae
Characiformes ,Characidae
Siluriformes,Heptapteridae
Characiformes ,Characidae
Characiformes ,Iguanodectidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Siluriformes,Auchenipteridae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Siluriformes,Auchenipteridae
Siluriformes,Doradidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Auchenipteridae
Siluriformes,Aspredinidae
Gymnotiformes ,Apteronotidae
Beloniformes ,Belonidae
Siluriformes,Callichthyidae
Siluriformes,Heptapteridae
Batrachoidiformes,Batrachoididae
Characiformes ,Characidae
Siluriformes,Cetopsidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Curimatidae
Characiformes ,Characidae
Characiformes ,Crenuchidae
Characiformes ,Anostomidae 
Characiformes ,Characidae
Characiformes ,Characidae
Siluriformes,Loricariidae
Cichliformes ,Cichlidae
Siluriformes,Heptapteridae
Gymnotiformes ,Sternopygidae
Characiformes ,Triportheidae
Characiformes ,Serrasalmidae
Characiformes ,Bryconidae
Cichliformes ,Cichlidae
Characiformes ,Acestrorhynchidae
Cichliformes ,Cichlidae
Siluriformes,Auchenipteridae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Siluriformes,Pimelodidae 
Cichliformes ,Cichlidae
Siluriformes,Heptapteridae
Siluriformes,Doradidae
Characiformes ,Characidae
Beloniformes ,Belonidae
Characiformes ,Anostomidae 
Characiformes ,Curimatidae
Siluriformes,Pseudopimelodidae
Characiformes ,Curimatidae
Synbranchiformes ,Synbranchidae
Characiformes ,Prochilodontidae
Siluriformes,Loricariidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Characiformes ,Erythrinidae
Characiformes ,Curimatidae
Characiformes ,Acestrorhynchidae
Characiformes ,Iguanodectidae
Characiformes ,Ctenoluciidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Lebiasinidae
Cichliformes ,Cichlidae
Characiformes ,Gasteropelecidae
Characiformes ,Erythrinidae
Cichliformes ,Cichlidae
Characiformes ,Serrasalmidae
Cichliformes ,Cichlidae
Characiformes ,Anostomidae 
Characiformes ,Iguanodectidae
Characiformes ,Anostomidae 
Gymnotiformes ,Hypopomidae
Characiformes ,chalceidae
Siluriformes,Loricariidae
Siluriformes,Loricariidae
Characiformes ,Characidae
Characiformes ,Curimatidae
Gymnotiformes ,Gymnotidae
Cichliformes ,Cichlidae
Characiformes ,Characidae
Characiformes ,Erythrinidae
Cichliformes ,Cichlidae
Characiformes ,Iguanodectidae
Characiformes ,Chilodontidae
Characiformes ,Anostomidae 
Characiformes ,Anostomidae 
Characiformes ,Iguanodectidae
Characiformes ,chalceidae
Characiformes ,Acestrorhynchidae
Characiformes ,Curimatidae
Characiformes ,Curimatidae
Characiformes ,Anostomidae 
Characiformes ,Anostomidae 
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Siluriformes,Heptapteridae
Cichliformes ,Cichlidae
Gymnotiformes ,Hypopomidae
Gymnotiformes ,Rhamphichthyidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Anostomidae 
Siluriformes,Doradidae
Characiformes ,Curimatidae
,
Characiformes ,Prochilodontidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Characiformes ,Chilodontidae
Characiformes ,Characidae
Cichliformes ,Cichlidae
Cichliformes ,Cichlidae
Characiformes ,Iguanodectidae
Characiformes ,Curimatidae
Characiformes ,Characidae
Siluriformes,Callichthyidae
Siluriformes,Callichthyidae
Siluriformes,Callichthyidae
Gymnotiformes ,Sternopygidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Characidae
Characiformes ,Anostomidae 
Cichliformes ,Cichlidae
Characiformes ,Serrasalmidae
Characiformes ,Hemiodontidae
Characiformes ,Iguanodectidae
Clupeiformes,Engraulididae
Characiformes ,Characidae